 dargha of India,C1,C1S9
 Degree Collages,C5,C5S5
 food Restaurants (Local & Outstation ),C4,C4S19
 Medical Equipments ,C2,C2S22
"AC , Mixer Grinders",C3,C3S11
Air Ticketing & Immigration,C4,C4S13
Arabic Schools,C5,C5S9
Ayurvadic,C2,C2S19
Azan,C1,C1S2
Baitulmals,C1,C1S5
Bar Binding Works,C6,C6S17
Bayans & Kirath ,C1,C1S1
Bicycle Dealers ,C7,C7S13
Boarding Schools,C5,C5S6
Book Stores,C7,C7S7
Builders & Developers,C6,C6S1
Building Material Suppliers,C6,C6S4
Bus Services,C4,C4S14
Car ,C3,C3S1
Car Hire ,C4,C4S15
Car old & new dealers,C7,C7S11
Cardiologist,C2,C2S5
Carpenter Services,C6,C6S6
Centering Works & Material,C6,C6S16
Charted Accountant,C4,C4S10
Chemists,C2,C2S20
Collage & Tuitions ,C5,C5S2
Computers,C3,C3S4
Courier Services,C4,C4S2
Dentists,C2,C2S1
Departmental Stores,C7,C7S5
Dermatologists,C2,C2S2
Diabetologist,C2,C2S6
Driving Schools,C4,C4S9
Dry cleaners,C4,C4S3
Drycleaners & Laundry services ,C4,C4S7
Duplicate Key Makers,C4,C4S4
Electrical & Lights fitting Dealers,C6,C6S18
Electricians Services,C6,C6S7
Engineering Works,C6,C6S5
Ent,C2,C2S18
Fan,C3,C3S5
Fashion Designers,C7,C7S10
Flooring Contractors,C6,C6S11
General Physician,C2,C2S7
Gents & Ladies Tailors,C4,C4S5
Gents Shopping,C7,C7S1
Gift Shops,C7,C7S9
Govt schemes for Muslim,C1,C1S6
"Granite ,Marble & Tiles",C6,C6S15
Gynecologist & pediatricians,C2,C2S3
Hajj & Umara tours organisers ,C1,C1S3
Hajj & umhar organizers ,C4,C4S12
Home Appliances,C7,C7S6
Home Décor Dealers,C6,C6S13
Homeopathic,C2,C2S16
Hospitals and Nursing home,C2,C2S9
Hotel Reservation ,C4,C4S16
Hotels & Lodging (Local & Outstation ),C4,C4S18
Interior Designers,C6,C6S10
International Schools,C5,C5S8
Jewellery Showrooms,C7,C7S8
Job oriental courses,C5,C5S4
Jobs for imam & mauzin,C1,C1S7
Kids Shopping,C7,C7S3
Lab & Research,C2,C2S21
Ladies shopping ,C7,C7S2
Ligal Advisor,C4,C4S1
List of social organization,C1,C1S8
Madras a & Arabic schools,C1,C1S4
Mason Contractors,C6,C6S12
Medical Tourism,C2,C2S10
Men & women PG,C6,C6S3
Microwave Oven,C3,C3S6
Mobile Phone,C3,C3S3
Moter winding,C3,C3S10
Motorcycle,C3,C3S2
National & International Jobs,C4,C4S6
Neurosurgeons,C2,C2S11
Orthopedic,C2,C2S8
Others,C3,C3S12
Painting Services,C6,C6S8
Paints and Hardware,C6,C6S14
Pest Control Services,C4,C4S11
Plumbing Services ,C6,C6S9
Professional Collages & Tuitions,C5,C5S3
Psychiatrists,C2,C2S4
Railway Ticketing Agents,C4,C4S17
Real Estate Agents,C6,C6S2
Refrigerator,C3,C3S7
Schools & Tuitions,C5,C5S1
Sexologist ,C2,C2S12
Teacher training Colleges,C5,C5S7
Television,C3,C3S8
Thyroid,C2,C2S13
Transporters,C4,C4S8
Two wheelers dealers,C7,C7S12
Unani,C2,C2S17
Urologists,C2,C2S14
Veterinary,C2,C2S15
Washing Machin,C3,C3S9
Watch Dealers,C7,C7S4
